"State","Total","White","Black","Native","Asian","Islander","OtherRace","TwoOrMoreRaces"
"Alabama","4864680","3317450","1293190","25576","64609","2182","70055","91619"
"Alaska","738516","478834","24129","106660","46556","8849","11027","62461"
"Arizona","6946680","5364140","305259","309580","228887","14112","471823","252883"
"Arkansas","2990670","2302870","460970","20037","43988","7969","78981","75852"
"California","39148800","23529100","2267880","296475","5604340","153366","5415410","1882230"
"Colorado","5531140","4655580","227938","54483","172695","8296","214817","197328"
"Connecticut","3581500","2734880","378262","9698","158817","1173","185244","113430"
"Delaware","949495","654905","209892","3455","36723","477","18034","26009"
"District of Columbia","684498","280469","321317","1993","26718","340","33518","20143"
"Florida","20598100","15529100","3316380","58118","559168","12887","580152","542340"
"Georgia","10297500","6079980","3239300","33484","402501","6095","283680","252448"
"Hawaii","1422030","355612","26266","2987","536842","143274","15292","341756"
"Idaho","1687810","1527260","11536","22790","23758","2761","53110","46592"
"Illinois","12821500","9189180","1824120","31864","690822","4582","762506","318413"
"Indiana","6637430","5548280","619472","14925","144991","2818","144648","162295"
"Iowa","3132500","2827890","109911","11549","75083","3129","39168","65770"
"Kansas","2908780","2460620","169801","24050","83531","2143","67588","101044"
"Kentucky","4440200","3866680","354112","9888","62802","2814","44086","99826"
"Louisiana","4663620","2901110","1502920","26272","79872","1468","60419","91563"
"Maine","1332810","1259220","17881","8302","14917","318","2970","29208"
"Maryland","6003440","3373180","1788090","15644","374277","3059","249815","199369"
"Massachusetts","6830190","5360010","510558","14493","442574","2329","284740","215493"
"Michigan","9957490","7818590","1375420","53235","304403","2979","119141","283718"
"Minnesota","5527360","4606040","342186","58982","262359","2187","97833","157767"
"Mississippi","2988760","1751190","1125830","13689","28313","707","28833","40193"
"Missouri","6090060","5008340","704896","26952","116720","6662","71162","155328"
"Montana","1041730","925642","4630","67289","7947","757","6032","29435"
"Nebraska","1904760","1666460","90860","17282","44105","1392","36058","48600"
"Nevada","2922850","1935100","261123","35845","234693","19352","296234","140499"
"New Hampshire","1343620","1250010","20516","2090","36124","359","6629","27890"
"New Jersey","8881840","6031750","1196760","18649","832403","3357","567976","230949"
"New Mexico","2092430","1558890","43006","199896","31513","1514","190111","67508"
"New York","19618500","12514900","3068100","79644","1630340","8017","1718220","599183"
"North Carolina","10155600","6994240","2179620","121352","282264","6939","307906","263301"
"North Dakota","752201","655268","20445","39462","10814","378","7528","18306"
"Ohio","11641900","9489830","1438270","23563","249741","3591","109792","327089"
"Oklahoma","3918140","2837770","287959","294676","83392","4471","106757","303110"
"Oregon","4081940","3445930","77789","46961","174510","16006","127084","193660"
"Pennsylvania","12791200","10341400","1423320","24847","427892","4107","258694","310880"
"Puerto Rico","3386940","2283720","365010","8504","6684","303","547254","175466"
"Rhode Island","1056610","854502","69254","5484","35663","863","58136","32709"
"South Carolina","4955920","3332990","1339360","16686","75084","3004","78597","110208"
"South Dakota","864289","730062","16241","75331","12660","293","6613","23089"
"Tennessee","6651090","5166230","1117490","17848","112915","3806","90666","142134"
"Texas","27885200","20720700","3365780","136061","1308260","23672","1600230","730499"
"Utah","3045350","2632060","35862","32657","69810","27096","157990","89879"
"Vermont","624977","589546","8058","2106","10579","184","2426","12078"
"Virginia","8413770","5722660","1613280","22972","531503","5677","208464","309213"
"Washington","7294340","5546000","269854","95048","607429","48043","311170","416795"
"West Virginia","1829050","1704340","66728","3668","14534","350","7290","32139"
"Wisconsin","5778390","4945970","368744","50422","159356","1975","115941","135990"
"Wyoming","581836","532008","5540","14053","4756","539","9361","15579"